mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R17,R19,R21,R22,R23,R24,R27,R29,R30,R32,R33,R35,R36,R38,R39
LN01872111_2352,-9.445511006397936,,0.41589259402609113,,R1=FC(F)F | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6cc(C(F)(F)F)ccc65)cc4F)CC2)n3C)c(=O)c1,FC(F)F,[H],[H],,[H],,[H].[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-20998600_31765,-9.208332897759291,,0.387027880520885,,R1=F | R2=Br | R3=[H] | R4=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5ccc(Br)c6F)cc4F)CC2)n3C)c(=O)c1,F,Br,[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-39189_612,-9.07998950199676,,0.37140841475216624,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R3=[H].[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](C)c6ccccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],[H].[H],,,[H],[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-28315957_27549,-8.931284493560485,,0.35331092890096577,,R1=[H]C([H])([H])O | R2=[H] | R3=[H] | R6=[H].[H]C([H])[H] | R7=[H].[H] | R8=[H].[H] | R10=Br | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5c6ccc(OC)c(Br)c6CC[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])([H])O,[H],[H],,,[H].[H]C([H])[H],[H].[H],[H].[H],,Br,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7501708_13555,-8.856268000652321,,0.3441813781663384,,R1=F | R2=[H] | R3=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=F | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5ccc(F)c6F)cc4F)CC2)n3C)c(=O)c1,F,[H],[H],,,[H].[H],[H].[H],[H].[H],,F,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7878291_26941,-8.708862307119958,,0.32624201969320715,,R1=[H].[H]C([H])[H] | R2=[H].[H] | R3=[H].[H] | R5=[H] | R6=Br | R7=[H] | R8=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5c6ccc(Br)cc6CC[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],[H].[H],[H].[H],,[H],Br,[H],[H],,,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52658345_41503,-8.627552410362421,,0.3163465580567374,,R1=[H]OC([H])([H])C([H])([H])O | R2=[H] | R3=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6cc(OCCO)ccc65)cc4F)CC2)n3C)c(=O)c1,[H]OC([H])([H])C([H])([H])O,[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-26872469_18868,-8.613101301368504,,0.3145878497031875,,R1=F | R2=[H] | R3=Cl | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(Cl)cc(F)cc65)cc4F)CC2)n3C)c(=O)c1,F,[H],Cl,,[H].[H],[H].[H],[H].[H],,,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-208789_5374,-8.456495635376251,,0.29552884924102674,,R1=FC(F)F | R2=[H] | R3=[H] | R4=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5cccc6C(F)(F)F)cc4F)CC2)n3C)c(=O)c1,FC(F)F,[H],[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN03295290_6040,-8.308864556362709,,0.27756206122399785,,R1=Cl | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]C([H])[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](C)c6cc(Cl)ccc65)cc4F)CC2)n3C)c(=O)c1,Cl,[H],[H],,[H],,[H].[H]C([H])[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00372291_3956,-8.194855295121714,,0.26368706794763563,,R3=[H].[H] | R5=[H] | R6=[H].[H]C([H])[H] | R7=[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](C)Cc6ccccc65)cc4F)CC2)n3C)c(=O)c1,,,[H].[H],,[H],[H].[H]C([H])[H],[H],[H].[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-80457_19671,-8.188302898398579,,0.26288963746270877,,R1=[H].[H][N+]([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R8=[H] | R9=[H]C([H])([H])O | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@H]([NH3+])c6cc(OC)ccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H][N+]([H])[H],[H].[H],,[H].[H],,[H],,[H],[H]C([H])([H])O,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN05448749_951,-8.13839893729143,,0.25681629642630044,,R1=[H].[H]C([H])[N+]([H])([H])[H] | R2=[H].[H] | R3=[H].[H] | R7=[H] | R8=[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](C[NH3+])Cc6ccccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[N+]([H])([H])[H],[H].[H],[H].[H],,,,[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-80457_19670,-8.12713445607914,,0.2554454025236388,,R1=[H].[H][N+]([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R8=[H] | R9=[H]C([H])([H])O | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H]([NH3+])c6cc(OC)ccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H][N+]([H])[H],[H].[H],,[H].[H],,[H],,[H],[H]C([H])([H])O,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00393320_7569,-8.12404198153238,,0.25506904657609075,,R1=Br | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]C([H])[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](C)c6cc(Br)ccc65)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H],,[H].[H]C([H])[H],,[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN02189928_7249,-8.085466436869073,,0.25037438039713866,,R1=[H]O | R3=[H] | R5=[H].[H] | R6=[H] | R8=[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(O)cccc65)cc4F)CC2)n3C)c(=O)c1,[H]O,,[H],,[H].[H],[H],,[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-27736711_26161,-8.044066094284387,,0.24533593467133596,,R1=FC(F)F.[H] | R2=[H].[H] | R5=[H] | R6=[H] | R7=[H] | R8=[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](C(F)(F)F)Cc6ccccc65)cc4F)CC2)n3C)c(=O)c1,FC(F)F.[H],[H].[H],,,[H],[H],[H],[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
